781,253,40,50,troll,.3,-.2,0,
333,421,40,50,troll,.3,-.2,0,
369,90,25,15,spikes,0,0,90,
369,115,25,15,spikes,0,0,90,
369,140,25,15,spikes,0,0,90,
369,165,25,15,spikes,0,0,90,
311,298,25,15,spikes,0,0,0,
336,298,25,15,spikes,0,0,0,
361,298,25,15,spikes,0,0,0,
386,298,25,15,spikes,0,0,0,
411,298,25,15,spikes,0,0,0,
436,298,25,15,spikes,0,0,0,
461,298,25,15,spikes,0,0,0,
486,298,25,15,spikes,0,0,0,
511,298,25,15,spikes,0,0,0,
865,442,25,15,spikes,0,0,0,
890,442,25,15,spikes,0,0,0,
915,442,25,15,spikes,0,0,0,
